Cruise,Platform,Layer,CastDirection,unixTimestamp,lat,lon,temperature,salinity,pHin,pH25atm,rhodamine,MLD
25720901,Glider,MLD,Mean,1754678640,42.6607,-69.4752,16.7265416666667,31.9284001984127,8.06579606119812,7.94204861995778,0.0254409722222222,15.8729507536647
25720901,Glider,MLD,Up,1754678640,42.6607,-69.4752,16.7265416666667,31.9284001984127,8.06579606119812,7.94204861995778,0.0254409722222222,15.8729507536647
25720901,Glider,MLD,Down,1754674860,42.6601,-69.4962,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754678640,42.6607,-69.4752,18.439268707483,31.8462636054422,8.07723801035948,7.97882218581176,0.0200654761904762,NaN
25720901,Glider,WPT,Constant,1754683260,42.6613,-69.4542,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754682420,42.661,-69.4552,17.2906244897959,31.8258387755102,8.07501826261758,7.95279287079842,0.0236585317460317,15.872950580544
25720901,Glider,MLD,Up,1754682420,42.661,-69.4552,17.2906244897959,31.8258387755102,8.07501826261758,7.95279287079842,0.0236585317460317,15.872950580544
25720901,Glider,MLD,Down,1754678880,42.66,-69.4743,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754682420,42.661,-69.4552,18.8866642857143,31.7281107142857,8.09209135450819,8.00006811939449,0.0189805555555556,NaN
25720901,Glider,WPT,Constant,1754686200,42.662,-69.4361,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,MLD,Mean,1754678220,42.507775,-69.44945,14.9565,32.154625,NaN,NaN,0.0163125,14.8747466493194
25706901,Glider,MLD,Up,1754679480,42.5028,-69.4495,14.9565,32.154625,NaN,NaN,0.0163125,14.8747466493194
25706901,Glider,MLD,Down,1754674440,42.5227,-69.4493,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,Surface,Mean,1754679480,42.5028,-69.4495,17.925625,32.085625,NaN,NaN,0.01125,NaN
25706901,Glider,WPT,Constant,1754684700,42.4858965536962,-69.4600034995623,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754686560,42.6633,-69.4367,16.4051428571429,31.8477599206349,8.06211633208526,7.92665408532564,0.0271111111111111,15.8729476319382
25720901,Glider,MLD,Up,1754686560,42.6633,-69.4367,16.4051428571429,31.8477599206349,8.06211633208526,7.92665408532564,0.0271111111111111,15.8729476319382
25720901,Glider,MLD,Down,1754682840,42.6606,-69.4543,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754686560,42.6633,-69.4367,18.4152857142857,31.7091865079365,8.08040329932658,7.97558519762383,0.021,NaN
25720901,Glider,WPT,Constant,1754690700,42.666,-69.4191,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,MLD,Mean,1754683260,42.501225,-69.45665,16.89025,32.054125,NaN,NaN,0.0121875,14.8747556178026
25706901,Glider,MLD,Up,1754684460,42.5008,-69.4592,16.89025,32.054125,NaN,NaN,0.0121875,14.8747556178026
25706901,Glider,MLD,Down,1754679660,42.5025,-69.449,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,Surface,Mean,1754684460,42.5008,-69.4592,19.2805,32.01025,NaN,NaN,0.009375,NaN
25706901,Glider,WPT,Constant,1754689440,42.4991,-69.4694,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,MLD,Mean,1754688105,42.500825,-69.467725,17.5883125,31.91775,NaN,NaN,0.013875,14.874756165493
25706901,Glider,MLD,Up,1754689260,42.501,-69.4707,17.5883125,31.91775,NaN,NaN,0.013875,14.874756165493
25706901,Glider,MLD,Down,1754684640,42.5003,-69.4588,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,Surface,Mean,1754689260,42.501,-69.4707,20.135125,31.7335,NaN,NaN,0.010875,NaN
25706901,Glider,WPT,Constant,1754694060,42.5017,-69.4826,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754690460,42.6654,-69.4213,17.4466207792208,31.8247965367965,8.05501707637284,7.9423255267619,0.0229861111111111,15.8729440843296
25720901,Glider,MLD,Up,1754690460,42.6654,-69.4213,17.4466207792208,31.8247965367965,8.05501707637284,7.9423255267619,0.0229861111111111,15.8729440843296
25720901,Glider,MLD,Down,1754686920,42.6635,-69.4356,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754690460,42.6654,-69.4213,19.0159714285714,31.7121603174603,8.07932083279801,7.98954668522901,0.0189523809523809,NaN
25720901,Glider,WPT,Constant,1754694360,42.6673,-69.407,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754694840,42.6674,-69.4083,17.7425824175824,31.9244212454212,8.06635594012078,7.95781324228812,0.0220576923076923,14.8809187569158
25720901,Glider,MLD,Up,1754694840,42.6674,-69.4083,17.7425824175824,31.9244212454212,8.06635594012078,7.95781324228812,0.0220576923076923,14.8809187569158
25720901,Glider,MLD,Down,1754691300,42.6664,-69.4212,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754694840,42.6674,-69.4083,19.3200892857143,31.7818511904762,8.08019458141862,7.99497967442138,0.017859375,NaN
25720901,Glider,WPT,Constant,1754699220,42.6684,-69.3954,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754698860,42.6605,-69.404,19.0309424603175,31.8057375992063,8.07303237866152,7.98375361802318,0.0190305555555556,15.8729521051811
25720901,Glider,MLD,Up,1754698860,42.6605,-69.404,19.0309424603175,31.8057375992063,8.07303237866152,7.98375361802318,0.0190305555555556,15.8729521051811
25720901,Glider,MLD,Down,1754695200,42.668,-69.4077,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754698860,42.6605,-69.404,20.007425170068,31.5680263605442,8.09331003471977,8.01830995008559,0.0179761904761905,NaN
25720901,Glider,WPT,Constant,1754702880,42.653,-69.4003,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,MLD,Mean,1754693265,42.504975,-69.486075,18.30175,31.901375,NaN,NaN,0.011625,14.874750483189
25706901,Glider,MLD,Mean,1754698590,42.505675,-69.508925,16.75,31.7905625,NaN,NaN,0.0140625,14.8747495247347
25706901,Glider,MLD,Up,1754694540,42.5063,-69.4912,18.30175,31.901375,NaN,NaN,0.011625,14.874750483189
25706901,Glider,MLD,Up,1754699880,42.5055,-69.5148,16.75,31.7905625,NaN,NaN,0.0140625,14.8747495247347
25706901,Glider,MLD,Down,1754689440,42.501,-69.4707,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,MLD,Down,1754694720,42.5062,-69.4913,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,Surface,Mean,1754694540,42.5063,-69.4912,19.909625,31.73225,NaN,NaN,0.0105,NaN
